Voltage_V,Intensity_mW,Fabry-Perot_T_mW
8.151,-0.00679750714274624,-0.36724
8.1415,-0.0147477987358503,-0.36728
8.132,-0.0176933646558829,-0.36731
8.1225,-0.0205376233507456,-0.36737
8.113,-0.0300903339290754,-0.36738
8.1035,-0.0273974258775035,-0.36735
8.094,-0.0295237219748426,-0.36735
8.0845,-0.0340998669524202,-0.36726
8.075,-0.0365008431163291,-0.36724
8.0655,-0.0434883077018374,-0.36719
8.056,-0.0622063860741059,-0.36715
8.0465,-0.065442409641172,-0.36715
8.037,-0.0693747655014634,-0.36719
8.0275,-0.0738408932159732,-0.36726
8.018,-0.0750216338591097,-0.36729
8.0085,-0.100331276160099,-0.36735
7.999,-0.0927940628284348,-0.36735
7.9895,-0.0923514570721817,-0.36726
7.98,-0.121025796102076,-0.36723
7.9705,-0.11450680766958,-0.36711
7.961,-0.120860857302889,-0.3671
7.9515,-0.134103579520138,-0.36712
7.942,-0.128617044693815,-0.36706
7.9325,-0.143401318794635,-0.36699
7.923,-0.183619188772626,-0.36711
7.9135,-0.19431289467241,-0.36701
7.904,-0.188454257620303,-0.36689
7.8945,-0.167572272507988,-0.36654
7.885,-0.187604258285294,-0.36614
7.8755,-0.20621498415702,-0.36613
7.866,-0.242292036424345,-0.36621
7.8565,-0.210357597742958,-0.36604
7.847,-0.219942656487593,-0.36606
7.8375,-0.237625635518986,-0.36601
7.828,-0.29124046379904,-0.36586
7.8185,-0.309171877763656,-0.36559
7.809,-0.321344758652436,-0.36506
7.7995,-0.319818915201598,-0.36423
7.79,-0.336169568374335,-0.36295
7.7805,-0.331699573141272,-0.36205
7.771,-0.389630929559093,-0.36068
7.7615,-0.348347273076689,-0.35921
7.752,-0.418867192728632,-0.35842
7.7425,-0.382688949922707,-0.35669
7.733,-0.418842189669899,-0.35609
7.7235,-0.47077480553061,-0.35666
7.714,-0.504956038574572,-0.35654
7.7045,-0.436398603392967,-0.3569
7.695,-0.569431095545887,-0.35642
7.6855,-0.564398014970257,-0.3553
7.676,-0.55185143242533,-0.35601
7.6665,-0.563399962528133,-0.35645
7.657,-0.591932314106963,-0.35696
7.6475,-0.596529453065626,-0.35626
7.638,-0.648091850602208,-0.35538
7.6285,-0.672795239161403,-0.35329
7.619,-0.755192644230486,-0.34646
7.6095,-0.769300013861899,-0.29085
7.6,-0.753279678859821,0.2605
7.5905,-0.723160679929874,0.3401
7.581,-0.85044926684994,-0.11744
7.5715,-0.829615846146942,-0.34947
7.562,-0.812954248492104,-0.36221
7.5525,-0.972836289676746,-0.36478
7.543,-0.989478752640467,-0.36563
7.5335,-0.938969551367695,-0.36612
7.524,-0.989814471069055,-0.36643
7.5145,-1.00743522590226,-0.36667
7.505,-0.938721443092062,-0.36689
7.4955,-0.991847713562631,-0.367
7.486,-1.06315659359347,-0.36713
7.4765,-1.02576048520105,-0.36722
7.467,-1.23453084702062,-0.36719
7.4575,-1.07073881947641,-0.36718
7.448,-1.11245230448649,-0.36714
7.4385,-1.12144391553334,-0.36722
7.429,-1.17673166721348,-0.36724
7.4195,-1.27312248001004,-0.36729
7.41,-1.26183481132069,-0.36738
7.4005,-1.51434692457644,-0.3674
7.391,-1.36482169901393,-0.36736
7.3815,-1.30640858341698,-0.36724
7.372,-1.61084353905198,-0.36722
7.3625,-1.6756193057462,-0.36725
7.353,-1.5042830067532,-0.36726
7.3435,-1.40105863308825,-0.36731
7.334,-1.48728052606519,-0.36739
7.3245,-1.57828576949489,-0.36744
7.315,-1.6835016359575,-0.36745
7.3055,-1.57278849819653,-0.36744
7.296,-1.75947086095379,-0.36739
7.2865,-1.84131738498446,-0.36734
7.277,-1.65265362598933,-0.36726
7.2675,-1.62887524082172,-0.36725
7.258,-1.74169656734952,-0.36727
7.2485,-1.78589354597666,-0.36734
7.239,-1.8640319186591,-0.36736
7.2295,-1.93889908705697,-0.36747
7.22,-1.75166444621807,-0.36745
7.2105,-1.86727466213873,-0.36752
7.201,-2.18618531831592,-0.3675
7.1915,-1.80314919852104,-0.36742
7.182,-2.31733428021765,-0.36742
7.1725,-2.24399600577741,-0.36735
7.163,-2.13528094757432,-0.36734
7.1535,-2.21715527703674,-0.3673
7.144,-2.04995901153485,-0.36731
7.1345,-2.20097494217798,-0.36737
7.125,-2.52808766902159,-0.3674
7.1155,-2.30995930173115,-0.36748
7.106,-2.31840538519114,-0.36753
7.0965,-2.16900897270507,-0.3675
7.087,-2.3407075560925,-0.36745
7.0775,-2.44690384123885,-0.36742
7.068,-2.50821034313734,-0.36738
7.0585,-2.35008069606862,-0.36732
7.049,-2.35476663253901,-0.36732
7.0395,-2.76690796075037,-0.3674
7.03,-2.17448315375689,-0.36744
7.0205,-2.74902858422523,-0.36751
7.011,-2.78572337291575,-0.36755
7.0015,-2.72809534095822,-0.36754
6.992,-2.28049134779827,-0.36747
6.9825,-2.40017651170801,-0.36749
6.973,-2.46542583287812,-0.3674
6.9635,-2.70791342839064,-0.36738
6.954,-2.34988692533922,-0.36732
6.9445,-2.76126539967663,-0.36735
6.935,-2.3513635473602,-0.36738
6.9255,-2.73792321005865,-0.36739
6.916,-2.64258756933448,-0.36747
6.9065,-2.84260392264915,-0.36751
6.897,-2.80594577422491,-0.36753
6.8875,-2.94305339764186,-0.36756
6.878,-2.93692654390349,-0.36754
6.8685,-2.55926699811349,-0.36749
6.859,-2.81224215944105,-0.36746
6.8495,-2.46430712622792,-0.36742
6.84,-2.35340681252608,-0.36735
6.8305,-2.84645047338531,-0.36733
6.821,-2.67567465999709,-0.36743
6.8115,-2.65646248048585,-0.36737
6.802,-2.95217865437087,-0.36734
6.7925,-2.74018487212191,-0.36737
6.783,-2.73922810790168,-0.36741
6.7735,-2.90026030720004,-0.36743
6.764,-2.84764249973801,-0.36749
6.7545,-2.68409625160886,-0.36754
6.745,-2.41045664538837,-0.36758
6.7355,-2.43885007537743,-0.36757
6.726,-2.87229675841531,-0.36754
6.7165,-2.27425685982756,-0.36751
6.707,-2.56894992988441,-0.36745
6.6975,-2.34268988524885,-0.36742
6.688,-2.8658766054484,-0.36734
6.6785,-2.67309728199305,-0.36736
6.669,-2.51554345524595,-0.36745
6.6595,-2.4756627512308,-0.3675
6.65,-2.19394057329774,-0.36754
6.6405,-2.57015271415487,-0.36758
6.631,-2.1426314672831,-0.36757
6.6215,-2.14638957811157,-0.36751
6.612,-2.40668912654951,-0.36744
6.6025,-2.12360710664135,-0.36742
6.593,-2.54119263834289,-0.36743
6.5835,-2.51387695764052,-0.36747
6.574,-2.43107896093979,-0.36755
6.5645,-2.06057679899935,-0.36761
6.555,-2.33858826412859,-0.36761
6.5455,-2.22903000273706,-0.36754
6.536,-2.4562620373681,-0.36749
6.5265,-2.24497986813569,-0.36745
6.517,-2.29449349411373,-0.36742
6.5075,-2.07455630066123,-0.36736
6.498,-2.03882367841243,-0.36737
6.4885,-2.21442969228604,-0.36746
6.479,-1.79370889829704,-0.36745
6.4695,-1.78833145794345,-0.36756
6.46,-1.77828675282155,-0.36758
6.4505,-1.86086559137128,-0.36759
6.441,-2.04374131844393,-0.36772
6.4315,-1.99355736760105,-0.36759
6.422,-1.60725830385835,-0.36754
6.4125,-1.72848828841573,-0.3675
6.403,-1.75678119046433,-0.3675
6.3935,-1.67448679762365,-0.36741
6.384,-1.74282063573993,-0.36739
6.3745,-1.69815275948441,-0.36746
6.365,-1.51914213291492,-0.36752
6.3555,-1.54535294943327,-0.36756
6.346,-1.34502024914045,-0.36759
6.3365,-1.69181521103522,-0.36762
6.327,-1.34555786508709,-0.36759
6.3175,-1.28903659337257,-0.36753
6.308,-1.35388952611955,-0.36748
6.2985,-1.26258228186918,-0.36741
6.289,-1.33237250778788,-0.36743
6.2795,-1.25218416841414,-0.36747
6.27,-1.42281794419898,-0.3675
6.2605,-1.36772356408905,-0.36759
6.251,-1.06567903148008,-0.36759
6.2415,-1.24863034003697,-0.3676
6.232,-1.07212236337105,-0.36759
6.2225,-1.08800814140784,-0.36757
6.213,-1.08662851195492,-0.36757
6.2035,-1.16459630314179,-0.36751
6.194,-0.989170373540617,-0.3674
6.1845,-1.10330705790189,-0.3674
6.175,-0.908246356764376,-0.36741
6.1655,-0.975307819844025,-0.36738
6.156,-0.932155600072563,-0.36747
6.1465,-0.873022826785122,-0.36752
6.137,-0.871068961639839,-0.36758
6.1275,-0.836754973372168,-0.36758
6.118,-0.708533032251537,-0.36758
6.1085,-0.673114448255983,-0.36756
6.099,-0.818020365656472,-0.36749
6.0895,-0.635364591572554,-0.36744
6.08,-0.584995990007385,-0.36737
6.0705,-0.656022421482564,-0.36741
6.061,-0.680548228364445,-0.36745
6.0515,-0.624847633492082,-0.36752
6.042,-0.524674751750026,-0.36758
6.0325,-0.529847491489934,-0.36755
6.023,-0.527074507930154,-0.36753
6.0135,-0.570417628928578,-0.36751
6.004,-0.442826850007838,-0.36742
